Parameters (Description)
^vzt010^              Ch 1 Temp Yesterday Hi Time
^vzs010^              Ch 1 Temp Yesterday Lo Time
^vhv010^              Ch 1 Temp 24hours ago
^vdv010^              Ch 1 Temp 24hour difference
^uni010^              Ch 1 Temp Units
^vxv011^              Ch 1 Humidity
^vhi011^              Ch 1 Humidity Daily Hi
^vht011^              Ch 1 Humidity Daily Hi Time
^vlo011^              Ch 1 Humidity Daily Lo
^vlt011^              Ch 1 Humidity Daily Lo Time
^vva011^              Ch 1 Humidity Running Average
^vda011^              Ch 1 Humidity Daily Avg
^vma011^              Ch 1 Humidity Month Avg
^vya011^              Ch 1 Humidity Year Avg
^vvr011^              Ch 1 Humidity Rate
^vrh011^              Ch 1 Humidity Rate Hi
^vrt011^              Ch 1 Humidity Rate Hi Time
^vrl011^              Ch 1 Humidity Rate Lo
^vrs011^              Ch 1 Humidity Rate Lo Time
^vmh011^              Ch 1 Humidity Monthly Hi
^vmd011^              Ch 1 Humidity Monthly Hi Date
^vml011^              Ch 1 Humidity Monthly Lo
^vme011^              Ch 1 Humidity Monthly Lo Date
^vyh011^              Ch 1 Humidity Yearly Hi
^vyd011^              Ch 1 Humidity Yearly Hi Date
^vyl011^              Ch 1 Humidity Yearly Lo
^vye011^              Ch 1 Humidity Yearly Lo Date
^vzh011^              Ch 1 Humidity Yesterday Hi
^vzt011^              Ch 1 Humidity Yesterday Hi Time
^vzs011^              Ch 1 Humidity Yesterday Lo Time
^vhv011^              Ch 1 Humidity 24hours ago
^vdv011^              Ch 1 Humidity 24hour difference
^uni011^              Ch 1 Humidity Units
^vxv012^              Ch 2 Temp
^vhi012^              Ch 2 Temp Daily Hi
^vht012^              Ch 2 Temp Daily Hi Time
^vlo012^              Ch 2 Temp Daily Lo
^vlt012^              Ch 2 Temp Daily Lo Time
^vva012^              Ch 2 Temp Running Average
^vda012^              Ch 2 Temp Daily Avg
^vma012^              Ch 2 Temp Month Avg
^vya012^              Ch 2 Temp Year Avg
^vvr012^              Ch 2 Temp Rate
^vrh012^              Ch 2 Temp Rate Hi
^vrt012^              Ch 2 Temp Rate Hi Time
^vrl012^              Ch 2 Temp Rate Lo
^vrs012^              Ch 2 Temp Rate Lo Time
^vmh012^              Ch 2 Temp Monthly Hi
^vmd012^              Ch 2 Temp Monthly Hi Date
^vml012^              Ch 2 Temp Monthly Lo
^vme012^              Ch 2 Temp Monthly Lo Date
^vyh012^              Ch 2 Temp Yearly Hi
^vyd012^              Ch 2 Temp Yearly Hi Date
^vyl012^              Ch 2 Temp Yearly Lo
^vye012^              Ch 2 Temp Yearly Lo Date
^vzh012^              Ch 2 Temp Yesterday Hi
^vzt012^              Ch 2 Temp Yesterday Hi Time
^vzs012^              Ch 2 Temp Yesterday Lo Time
^vhv012^              Ch 2 Temp 24hours ago
^vdv012^              Ch 2 Temp 24hour difference
^uni012^              Ch 2 Temp Units
^vxv013^              Ch2 Humidity
^vhi013^              Ch2 Humidity Daily Hi
^vht013^              Ch2 Humidity Daily Hi Time
^vlo013^              Ch2 Humidity Daily Lo
^vlt013^              Ch2 Humidity Daily Lo Time
^vva013^              Ch2 Humidity Running Average
^vda013^              Ch2 Humidity Daily Avg
